image_path,lt_x,lt_y,ld_x,ld_y,rt_x,rt_y,rd_x,rd_y
0,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125185915221046_cs=0.0_sb=0.229_ori.jpg,86.75969105958939,81.64174711704254,79.28260869565216,177.44565217391303,185.26086956521738,88.31521739130434,177.96093249320984,184.68749964237213
1,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125190208223632_cs=0.0_sb=0.383_ori.jpg,77.90165510773659,93.26330092549324,91.7109375,193.01953125,179.46569591760635,81.54436907172203,191.17621511220932,181.0836927294731
2,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125190231435935_cs=0.0_sb=0.162_ori.jpg,68.24069249629974,77.49250105023384,73.76783353090286,163.16311764717102,154.76692068576813,71.4204828441143,160.05059325695038,157.28019684553146
3,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125190859495208_cs=0.0_sb=0.436_ori.jpg,80.0,80.0,80.0,177.0,175.0,80.0,175.0,177.0
4,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125190932537598_cs=0.0_sb=0.37_ori.jpg,77.51851851851853,73.58024691358025,75.2734375,162.7099609375,164.70993548631668,76.05480909347534,161.96296296296296,165.1851851851852
5,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125192252025628_cs=0.0_sb=0.42_ori.jpg,70.17551963048498,65.81986143187066,68.32794457274827,149.88452655889145,155.6258660508083,67.66743648960738,153.08545034642032,151.50115473441107
6,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125194625927863_cs=0.0_sb=0.381_ori.jpg,77.67664432525635,74.85723066329956,80.71875,171.28125,174.80169439315796,72.74581718444824,177.36756420135498,170.24867463111877
7,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125194637483997_cs=0.0_sb=0.391_ori.jpg,68.46241457858771,64.92027334851937,67.77904328018224,150.34168564920273,153.88382687927108,64.92027334851937,152.97266514806378,150.11389521640092
8,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125194649279712_cs=0.0_sb=0.38_ori.jpg,75.05037783375315,73.29974811083123,73.79093198992442,164.23173803526447,167.99748110831234,74.05541561712846,165.9823677581864,165.23929471032744
9,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125194837266570_cs=0.0_sb=0.4_ori.jpg,58.69827586206897,64.87068965517241,60.85344827586208,143.5344827586207,139.30172413793105,62.931034482758626,140.59482758620692,141.81034482758622
10,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125195103797020_cs=0.0_sb=0.162_ori.jpg,79.37809234857559,99.60879126191139,73.87325567007065,201.44830960035324,181.65096884965897,104.40282538533211,175.74286025762558,206.80986857414246
11,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125195203896266_cs=0.0_sb=0.375_ori.jpg,70.0253807106599,69.03553299492386,62.15736040609137,159.39086294416245,161.39593908629442,75.88832487309645,153.78172588832487,167.25888324873097
12,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125195227824743_cs=0.0_sb=0.171_ori.jpg,74.29649090766907,80.1514105796814,70.29201101928376,179.88980716253445,175.5336799621582,84.617755651474,171.11845730027548,185.12396694214877
13,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125195404619631_cs=0.0_sb=0.219_ori.jpg,67.12087912087912,62.41758241758242,64.92307692307693,141.97802197802199,146.02197802197804,63.73626373626374,144.26373626373626,144.6153846153846
14,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125195442564173_cs=0.0_sb=0.233_ori.jpg,47.357954025268555,94.27840948104858,94.94647550582886,158.66287899017334,108.86122608184814,48.15095233917236,157.1029920578003,113.62191867828369
15,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125195505644613_cs=0.0_sb=0.237_ori.jpg,65.24824355971896,69.55503512880561,68.52693208430912,155.26932084309132,150.4941451990632,64.40281030444964,153.53864168618264,151.28805620608898
16,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125195715715407_cs=0.0_sb=0.339_ori.jpg,52.34815621376037,88.5494297146797,95.67448782920836,147.47323858737946,113.29991948604582,42.8356043100357,158.26329123973846,101.95411205291747
17,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125200816261573_cs=0.0_sb=0.176_ori.jpg,71.71875,60.75,59.393003940582275,138.7638258934021,149.97759246826172,71.92292189598083,138.06894493103027,150.51999950408936
18,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125200845087610_cs=0.0_sb=0.386_ori.jpg,62.5543692111969,54.76905584335327,57.023361682891846,124.30173593759537,132.41598039865494,59.643122881650925,127.7960125207901,128.94257014989853
19,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125203510218743_cs=0.0_sb=0.384_ori.jpg,76.57046979865771,129.19463087248323,78.91946308724832,230.53691275167785,181.93959731543623,127.18120805369128,183.28187919463085,231.20805369127518
20,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125203524500878_cs=0.0_sb=0.376_ori.jpg,63.611111111111114,105.0,70.83333333333334,191.38888888888889,150.83333333333331,98.05555555555556,159.44444444444443,184.72222222222223
21,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125203609569995_cs=0.0_sb=0.383_ori.jpg,69.59885386819482,107.44985673352434,66.44699140401144,195.702005730659,159.2836676217765,110.88825214899713,154.6991404011461,199.4269340974212
22,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125203925519463_cs=0.0_sb=0.365_ori.jpg,66.59550561797752,63.59550561797752,64.57303370786516,144.9438202247191,148.39325842696627,64.71910112359551,146.3707865168539,146.06741573033707
23,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204232439312_cs=0.0_sb=0.377_ori.jpg,48.63093554973602,60.69052070379257,61.236196756362915,121.42497718334198,107.90735960006714,47.51798540353775,120.41062414646149,108.1107348203659
24,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204401798374_cs=0.0_sb=0.149_ori.jpg,70.73286052009456,68.08510638297872,69.78723404255317,155.3191489361702,158.67612293144205,67.84869976359337,157.73049645390068,156.26477541371156
25,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204410913536_cs=0.0_sb=0.376_ori.jpg,72.48512585812357,64.30205949656751,69.73913043478261,151.25858123569793,159.21281464530892,66.13272311212815,157.1533180778032,153.08924485125857
26,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204411411424_cs=0.0_sb=0.175_ori.jpg,62.05081346631051,64.01027891039848,71.41803278688525,137.90983606557378,135.3178830742836,55.663402318954475,145.39344262295083,129.30327868852459
27,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204421128595_cs=0.0_sb=0.378_ori.jpg,66.74031890660594,69.93166287015946,66.27066648006439,151.6263439655304,148.97266514806378,66.2870159453303,148.97266514806378,149.43052391799546
28,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204511849579_cs=0.0_sb=0.217_ori.jpg,65.91304347826086,56.521739130434774,61.453904151916504,136.1493043899536,144.82608695652172,61.95652173913043,140.04347826086953,142.39130434782606
29,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204548688934_cs=0.0_sb=0.217_ori.jpg,50.28049746155739,56.545864909887314,60.35845074057579,122.44017440080643,115.32914233207703,47.25320440530777,124.74038600921631,113.13194215297699
30,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204601269888_cs=0.0_sb=0.192_ori.jpg,63.73808181285858,62.08248609304428,73.95083954930305,139.52920150756836,140.99635583162308,53.49823275208473,150.6988855600357,131.11845242977142
31,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204756736023_cs=0.0_sb=0.39_ori.jpg,58.04110777378082,77.30665588378906,77.59346815943718,152.2573862671852,134.93184942007065,58.476274877786636,154.05366438627243,132.83892393112183
32,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204812685017_cs=0.0_sb=0.403_ori.jpg,63.36185819070906,73.10513447432763,66.97860807180405,159.246464073658,151.38141809290954,70.17114914425429,155.53789731051344,156.7237163814181
33,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204857872314_cs=0.0_sb=0.365_ori.jpg,62.95833333333334,61.25,62.75,137.29166666666669,139.20833333333334,60.208333333333336,139.83333333333334,136.45833333333334
34,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204911975224_cs=0.0_sb=0.376_ori.jpg,60.06076326966286,53.24305307865143,49.671875,121.2578125,129.03992015968063,63.672654690618764,118.36355745792389,131.79642033576965
35,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204913930315_cs=0.0_sb=0.156_ori.jpg,63.66375545851528,67.24890829694323,64.53711790393012,148.03493449781658,145.97816593886463,67.68558951965065,147.0698689956332,149.7816593886463
36,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204932794176_cs=0.0_sb=0.385_ori.jpg,67.0926866531372,58.60970559716225,60.626821249723434,131.88953459262848,140.70760107040405,64.94216838479042,133.97078335285187,137.36297035217285
37,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204941229944_cs=0.0_sb=0.37_ori.jpg,63.7421875,62.1875,63.7421875,139.14453125,141.51464435146443,62.55230125523012,141.0962343096234,139.9581589958159
38,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204946622210_cs=0.0_sb=0.382_ori.jpg,64.6628645658493,57.51467591524125,56.45704600214959,131.36706060171127,139.28515625,66.94921875,131.19759839773178,139.58030605316162
39,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204951288942_cs=0.0_sb=0.37_ori.jpg,70.03981264637,66.27634660421545,70.27400468384073,152.92740046838406,156.22248243559716,64.40281030444964,157.15925058548007,150.5854800936768
40,C:\Users\Administrator\Desktop\unet_dataset\train_red\20221125204954519267_cs=0.0_sb=0.161_ori.jpg,76.27918781725887,75.63451776649747,77.04060913705584,169.03553299492387,169.6802030456853,76.90355329949239,170.44162436548223,170.55837563451777
